city,coordinates,email,county
Adelanto,34.57611; -117.43278,adelanto@tempemail.com,San Bernardino
Agoura Hills,34.15333; -118.76167,agourahills@tempemail.com,Los Angeles
Alameda,37.75611; -122.27444,alameda@tempemail.com,Alameda
Albany,37.88694; -122.29778,albany@tempemail.com,Alameda
Alhambra,34.08194; -118.13500,alhambra@tempemail.com,Los Angeles
Aliso Viejo,33.57500; -117.72556,alisoviejo@tempemail.com,Orange
Alturas,41.48722; -120.54250,alturas@tempemail.com,Modoc
Amador City,38.41944; -120.82417,amadorcity@tempemail.com,Amador
American Canyon,38.16806; -122.25250,americancanyon@tempemail.com,Napa
Anaheim,33.83611; -117.88972,anaheim@tempemail.com,Orange
Anderson,40.45222; -122.29667,anderson@tempemail.com,Shasta
Angels Camp,38.06833; -120.53972,angelscamp@tempemail.com,Calaveras
Antioch,38.00500; -121.80583,antioch@tempemail.com,Contra Costa
Apple Valley,34.50083; -117.18583,applevalley@tempemail.com,San Bernardino
Arcadia,34.13278; -118.03639,arcadia@tempemail.com,Los Angeles
Arcata,40.86639; -124.08278,arcata@tempemail.com,Humboldt
Arroyo Grande,35.12083; -120.58667,arroyogrande@tempemail.com,San Luis Obispo
Artesia,33.86722; -118.08056,artesia@tempemail.com,Los Angeles
Arvin,35.20917; -118.82833,arvin@tempemail.com,Kern
Atascadero,35.48417; -120.67250,atascadero@tempemail.com,San Luis Obispo
Atherton,37.45861; -122.20000,atherton@tempemail.com,San Mateo
Atwater,37.34778; -120.60917,atwater@tempemail.com,Merced
Auburn,38.89861; -121.07444,auburn@tempemail.com,Placer
Avalon,33.34083; -118.32778,avalon@tempemail.com,Los Angeles
Avenal,36.00417; -120.12889,avenal@tempemail.com,Kings
Azusa,34.13056; -117.90694,azusa@tempemail.com,Los Angeles
Bakersfield,35.367; -119.017,bakersfield@tempemail.com,Kern
Baldwin Park,34.08278; -117.97167,baldwinpark@tempemail.com,Los Angeles
Banning,33.93167; -116.89750,banning@tempemail.com,Riverside
Barstow,34.900; -117.017,barstow@tempemail.com,San Bernardino
Beaumont,33.92944; -116.97722,beaumont@tempemail.com,Riverside
Bell,33.983; -118.183,bell@tempemail.com,Los Angeles
Bell Gardens,33.96806; -118.15611,bellgardens@tempemail.com,Los Angeles
Bellflower,33.88806; -118.12750,bellflower@tempemail.com,Los Angeles
Belmont,37.51806; -122.29167,belmont@tempemail.com,San Mateo
Belvedere,37.87278; -122.46444,belvedere@tempemail.com,Marin
Benicia,38.06333; -122.15611,benicia@tempemail.com,Solano
Berkeley,37.87167; -122.27278,berkeley@tempemail.com,Alameda
Beverly Hills,34.07306; -118.39944,beverlyhills@tempemail.com,Los Angeles
Big Bear Lake,34.24389; -116.91139,bigbearlake@tempemail.com,San Bernardino
Biggs,39.41389; -121.71028,biggs@tempemail.com,Butte
Bishop,37.3635; -118.3951,bishop@tempemail.com,Inyo
Blue Lake,40.88278; -123.98389,bluelake@tempemail.com,Humboldt
Blythe,33.61028; -114.59639,blythe@tempemail.com,Riverside
Bradbury,34.14944; -117.97444,bradbury@tempemail.com,Los Angeles
Brawley,32.97861; -115.53028,brawley@tempemail.com,Imperial
Brea,33.92333; -117.88889,brea@tempemail.com,Orange
Brentwood,37.93194; -121.69583,brentwood@tempemail.com,Contra Costa
Brisbane,37.68083; -122.41917,brisbane@tempemail.com,San Mateo
Buellton,34.61417; -120.19389,buellton@tempemail.com,Santa Barbara
Buena Park,33.85611; -118.00417,buenapark@tempemail.com,Orange
Burbank,34.18028; -118.32833,burbank@tempemail.com,Los Angeles
Burlingame,37.58333; -122.36361,burlingame@tempemail.com,San Mateo
Calabasas,34.13833; -118.66083,calabasas@tempemail.com,Los Angeles
Calexico,32.67889; -115.49889,calexico@tempemail.com,Imperial
California City,35.12583; -117.98583,californiacity@tempemail.com,Kern
Calimesa,33.00389; -117.06194,calimesa@tempemail.com,Riverside
Calipatria,33.12556; -115.51417,calipatria@tempemail.com,Imperial
Calistoga,38.58139; -122.58278,calistoga@tempemail.com,Napa
Camarillo,34.233; -119.033,camarillo@tempemail.com,Ventura
Campbell,37.28389; -121.95500,campbell@tempemail.com,Santa Clara
