county,state
San Bernardino,CA
Los Angeles,CA
Alameda,CA
Orange,CA
Modoc,CA
Amador,CA
Napa,CA
Shasta,CA
Calaveras,CA
Contra Costa,CA
Humboldt,CA
San Luis Obispo,CA
Kern,CA
San Mateo,CA
Merced,CA
Placer,CA
Kings,CA
Riverside,CA
Marin,CA
Solano,CA
Butte,CA
Inyo,CA
Imperial,CA
Santa Barbara,CA
Ventura,CA
Santa Clara,CA
Santa Cruz,CA
San Diego,CA
Monterey,CA
Stanislaus,CA
Madera,CA
Sacramento,CA
Lake,CA
Sonoma,CA
Fresno,CA
Colusa,CA
Tehama,CA
Del Norte,CA
Yolo,CA
Tulare,CA
Siskiyou,CA
San Joaquin,CA
Mendocino,CA
Nevada,CA
San Benito,CA
Sierra,CA
Mono,CA
Yuba,CA
Glenn,CA
El Dorado,CA
Plumas,CA
San Francisco,CA
Tuolumne,CA
Lassen,CA
Sutter,CA
