A New Heart,33.43778; -117.62028,hcfusa@gmail.com
A&E,38.44861; -122.70472,santarosa@tempemail.com
Adelante,34.050; -118.250,readelante@aol.com
Agenda,34.01444; -118.11444,info@latinagents.com
Al Borde,34.050; -118.250,losangeles@tempemail.com
Al Jadid,33.81833; -118.03917,aljadid@aljadid.com
Al-Akhbar,34.13611; -117.86528,alakhbarusa@yahoo.com
Al-Watan,33.83611; -117.88972,editor@watan.com
Amador Ledger Dispatch,38.34889; -120.77417,editor@ledger-dispatch.com
American Indian Culture & Research Journal,34.050; -118.250,aisc@ucla.edu
Antelope Valley Journal,34.41278; -117.30611,valleywide@valleywidenews.com
Antelope Valley Press,34.58111; -118.10056,editor@avpress.com
Antelope Valley Press Online,34.58111; -118.10056,editor@avpress.com
Arvin Tiller,35.50056; -119.27167,lamontreporter@earthlink.net
Arvin Tiller & Lamont Reporter Newspapers,35.50056; -119.27167,lamontreporter@earthlink.net
Asian Enterprise Magazine,34.033; -117.867,aey.awards@gmail.com
Atascadero News,35.48417; -120.67250,news@atascaderonews.com
Auburn Journal,38.89861; -121.07444,ajournal@goldcountrymedia.com
Auburn Journal Online,38.89861; -121.07444,ajournal@goldcountrymedia.com
AutoWire.Net,37.55417; -122.31306,autowire@pacbell.net
Awareness Magazine,34.050; -118.250,info@awarenessmag.com
Azteca News,33.74083; -117.88139,aztecanews@aol.com
Azusa Herald Highlander,34.09167; -117.87917,news.tribune@sgvn.com
Bakersfield Californian Online,35.367; -119.017,local@bakersfield.com
Bakersfield News Observer,35.367; -119.017,observernews@gmail.com
Beachcomber,33.76833; -118.19556,editor@beachcomber.news
Beirut Times,34.15611; -118.13194,44beirut@gmail.com
Beirut Times Online,34.15611; -118.13194,44beirut@gmail.com
Berkeley Tri-City Post,37.80444; -122.27083,info@postnewsgroup.com
Berkeleyside,37.87167; -122.27278,tips@berkeleyside.com
Bert Dohmen's Wellington Letter,34.050; -118.250,client@dohmencapital.com
Beverly Press/Park Labrea News,34.050; -118.250,editor@beverlypress.com
Big Bear Grizzly,34.24389; -116.91139,editor.grizzly@gmail.com
Business Journal Online,36.750; -119.767,editor@thebusinessjournal.com
Business Life,34.14611; -118.25500,editorial@businesslife.com
Business Life Online,34.14611; -118.25500,editorial@businesslife.com
C-Suite Quarterly,34.13833; -118.66083,editorials@csqmag.com
CMEA Magazine,39.81028; -120.46972,cmeamagazine@dslextreme.com
CalContractor,33.50333; -117.12361,temecula@tempemail.com
California Advocate,36.750; -119.767,newsroom@caladvocate.com
California Advocate Online,36.750; -119.767,newsroom@caladvocate.com
California Buildings News,37.783; -122.417,sanfrancisco@tempemail.com
California Courier,34.14611; -118.25500,califcourier@cs.com
California Crusader News,33.88667; -118.35361,calcrus@pacbell.net
California Management Review,37.87167; -122.27278,cmr@haas.berkeley.edu
California Planning & Development Report,34.27500; -119.22778,info@cp-dr.com
Cam-News,33.76833; -118.19556,cam-news@hotmail.com
Career Planning & Adult Development Network Newsletter,37.333; -121.900,sanjose@tempemail.com
Castro Valley Forum,37.75611; -122.27444,alameda@tempemail.com
Chico Enterprise-Record,39.74000; -121.83556,localnews@chicoer.com
Chino Champion,34.01778; -117.69000,news@championnewspapers.com
Chino Hills Champion,34.01778; -117.69000,news@championnewspapers.com
Cloverdale Reveille,38.79917; -123.01722,reveille@cloverdalereveille.com
Coalinga Recorder,36.13972; -120.36028,coalinga@tempemail.com
Coastal Community Newspapers,34.00778; -118.40083,editor@culvercitynews.org
Colton Courier,34.07389; -117.31361,iecn1@mac.com
Colusa County Sun-Herald,39.150; -121.583,info@appealdemocrat.com
Community News,34.13611; -117.86528,glencomnews@yahoo.com
Compendium Newsletter,34.050; -118.250,ecnp@aol.com
County Legal Reporter,34.41278; -117.30611,valleywide@valleywidenews.com
Courts Today,33.86639; -118.39972,courtstoday@mac.com
Covina Press Courier Highlander,34.09167; -117.87917,news.tribune@sgvn.com
Credit Union Digest,34.05278; -117.62778,digest@ccul.org
Cultural News,34.050; -118.250,info@culturalnews.com
Daily Democrat Online,38.67861; -121.77333,news@dailydemocrat.com
Daily News,40.17667; -122.23806,redbluff@tempemail.com
Daily Press,34.53611; -117.29111,vvnews@vvdailypress.com
Daily Press Online,34.53611; -117.29111,vvnews@vvdailypress.com
Daily Republic,38.25778; -122.05417,drnews@dailyrepublic.net
Daily Republic Online,38.25778; -122.05417,drnews@dailyrepublic.net
Davis Enterprise Online,38.55389; -121.73806,newsroom@davisenterprise.net
Deal Lawyers,37.97806; -122.03111,info@deallawyers.com
Deal Lawyers Online,37.97806; -122.03111,info@deallawyers.com
Delano Record,35.50056; -119.27167,delanorecord@sbcglobal.net
Desert Life,33.83028; -116.54528,localnews@thedesertsun.com
Desert Magazine,33.83028; -116.54528,localnews@thedesertsun.com
Desert Sun Online,33.83028; -116.54528,localnews@thedesertsun.com
